Solvent,Enzyme,Temperature,x50,μ,σ,A,B,m
EtOH,ChrOYE1,25,44.85593905164,8.1823880894436,12.536256137823669,15.6759357103409,0.08343154803858166,6150.8711792474705
EtOH,ChrOYE1,30,36.332379082540285,10.697349379425797,10.0,17.72130423941777,0.24768722137827318,524.3409790558765
EtOH,ChrOYE1,35,19.60672508991163,7.528898794300668,10.0,14.964926229530384,0.14885596095097742,6376.225935643784
EtOH,ChrOYE1,40,12.733878374017149,0.0786926488519034,31.083538333117716,6.478299970109798,0.2877371355782395,1015.7681637355198
EtOH,ChrOYE1,45,13.76263603122826,0.09008062715957904,28.93632223057169,5.191009461448206,0.43419855397994167,1711.2020267479807
EtOH,DrER,25,19.607915246852023,13.914383894657838,11.006516914294881,16.950011751091807,0.3790466265012338,2216.8374953539233
EtOH,DrER,30,19.048312289260217,0.02771959062863696,95.1061541774273,11.822463635275124,1.0513230614479296,1387.2089494828645
EtOH,DrER,35,14.871936359036829,0.0,12.119697098766556,16.055039881934775,0.8040042128518495,7624.972337528425
EtOH,DrER,40,9.771224395307566,0.003331805037809288,48.036926692980295,6.11213026164373,0.5548773107596606,10044.913729322569
EtOH,DrER,45,5.1680990722886255,0.00019513547406430288,21.71339091201759,2.8266409074742223,0.2370662022566138,8390.459505275172
EtOH,NCR,25,16.474837704436297,0.12478606844792502,17.074061522780433,8.164027225527505,0.28641566869546004,394.7347616210739
EtOH,NCR,30,14.034597483579486,0.0,13.133922562752298,1.668856273173506,0.6010851303432836,361.8946143746808
EtOH,NCR,35,1.0456333088437616e-05,2.2900822472865903,10.525220742434898,15.847895878491558,0.13271495847350875,6785.90363760265
EtOH,NCR,40,8.490903727690036,0.0,10.042837190286862,0.0,0.46004480926594055,651.794685749267
EtOH,NCR,45,0.12518206920059158,0.022119872479857222,94.18201492823479,11.128871175781049,0.11945128136702472,411.7126305488038
EtOH,NerA,25,19.17327681321431,0.005280467000309974,10.416674907766922,0.10042830639085766,0.01662657902168812,1492.9030409603179
EtOH,NerA,30,18.761216287844146,0.0,10.718065570002189,0.39121609303324123,0.004812438402194335,1489.113172370581
EtOH,OYE1,25,39.10151627669337,13.303903904207067,13.135146922008657,11.16740535136348,0.0,1425.1414019933939
EtOH,OYE1,30,32.49311026004054,11.541118625128624,10.667195676780517,7.733678765907863,0.09126232162317059,1440.8399478820484
EtOH,OYE1,35,20.261706803899234,9.60651602618711,10.0,6.222897874177961,0.25988427412381915,7134.656573492208
EtOH,OYE1,40,11.31320850597647,0.006859881110780045,48.994923759042855,1.956632737866176,0.33203655216837613,1042.324921106665
EtOH,OYE1,45,14.212547725801127,0.0,10.128997737971474,0.0007293203651242283,0.1341947007246618,1457.9750883338893
EtOH,PpXenB,25,29.790529693653887,15.79430802500864,10.0,14.576679422205137,0.6806274514124817,647.5285612385321
EtOH,PpXenB,30,27.728280108065047,15.693377123891587,10.0,7.604731425926135,0.8478977101688984,789.9916182686923
EtOH,PpXenB,35,19.959530345190288,12.63451034610285,10.0,7.954928410453807,0.597725723232483,8382.802094672677
EtOH,PpXenB,40,14.707257520478878,0.0,10.068620549650179,0.0,0.3031324042758765,2751.8535246456286
EtOH,PpXenB,45,12.918784949685211,0.012979941155895843,61.880964725408056,6.232186401420552,0.12125354387752896,1063.748421625908
EtOH,TsOYE,25,44.79980646196702,19.420161036850264,11.875833364537021,14.671019145429094,1.0532845937202628,457.9224297915676
EtOH,TsOYE,30,44.935404896664046,15.2851574147813,14.384042424371318,26.855904890346732,0.8308533584413289,982.7605553344904
EtOH,TsOYE,35,35.832991419647854,1.6369042404766698,31.023047646252465,55.81885704953031,0.8883922283273337,1204.431877284305
EtOH,TsOYE,40,33.5054611994945,11.310742527601413,17.55360396154313,36.15853103331391,0.8805881445103146,830.063380097953
EtOH,TsOYE,45,32.989747730348476,13.246277944443676,10.000089894634423,14.971532016420309,1.1549978748197467,914.0329203269775
EtOH,YqiG,25,36.80045317856148,15.945519141561634,10.0,8.447921068630842,0.6591662277018177,538.8411289876615
EtOH,YqiG,30,32.42503091897725,14.233812965222523,13.698570793039814,19.318790805397615,0.22244656322778905,898.5673844149377
EtOH,YqiG,35,21.221540864548356,0.02152996935709613,41.89203064430561,3.1379033567609125,0.23086191565000969,773.9899903399462
EtOH,YqiG,40,20.2956617450525,0.0,10.0,2.625457378551568,0.0,1509.7483075690957
MeOH,ChrOYE1,25,24.932506030242976,0.8757270469767926,34.03499726656446,11.731282565148305,0.4763586975121731,9027.917569121671
MeOH,ChrOYE1,30,26.758026240148492,11.889237441882546,11.43252530453059,12.170844848809642,0.3398437389519254,1202.9001349677599
MeOH,ChrOYE1,35,23.08553928001476,8.331783454030282,10.920149477193558,10.137174623600647,0.26789457060811794,1514.3254057128713
MeOH,ChrOYE1,40,14.806395045231612,0.03565627401944642,37.11243972052687,7.625672913014282,0.2106554649250879,1691.2058942238418
MeOH,ChrOYE1,45,14.612629652776283,8.650714359402297,10.0,6.321441873738299,0.11389327653726929,7676.226879823818
MeOH,DrER,25,25.004891427107356,0.0,22.688624679280974,27.996104697682174,0.6179619494437788,87953.30876984641
MeOH,DrER,30,24.107263418672442,10.034591271032186,10.0,10.587794256128387,0.6470264469218489,1278.6058711753665
MeOH,DrER,35,18.54711494186422,0.023955518426692784,57.88566884142036,7.442168073977451,0.9303661635799612,1599.1228418347573
MeOH,DrER,40,9.826175585577204,1.9991759279492094,10.0,10.555445424705889,0.26836229503796377,6330.986572940945
MeOH,DrER,45,7.913530560910705,0.020919489328142495,116.56534630616608,9.878662931228995,0.3164140796657854,1332.6805144527348
MeOH,NCR,25,59.85424548471791,3.30669755263553,17.29685401545921,20.77098481171178,0.0,889.6516902872124
MeOH,NCR,30,18.743504457688847,0.0,18.925461929117066,0.0,0.6739818616317739,315.97819355304296
MeOH,NCR,35,20.233464587927042,0.0,10.892206480251295,4.4728385864167475,0.4374521397019539,582.2293278713175
MeOH,NCR,40,0.0,0.0,10.0,9.45676320213222,0.10045019712379362,1406.383396420674
MeOH,NCR,45,18.892991001008028,0.0,10.0,0.791612534306109,0.0,1490.2449878724817
MeOH,NerA,25,24.74419040087205,6.581828121297818e-11,10.621080905086012,2.0038033909571288e-05,0.02207638591129092,1462.9929093036887
MeOH,NerA,30,22.65933758716789,0.0,10.362044014967717,0.0,0.01945080041918551,1479.9316299269146
MeOH,OYE1,25,30.96439927815172,11.695058762391879,15.892452568211082,1.4771867151224376,0.2653751810055741,1641.5047232412267
MeOH,OYE1,30,29.48717518272223,14.713094831856386,10.52092470208438,8.42403073840602,0.09556834062919808,5110.074506460632
MeOH,OYE1,35,20.84811412409168,10.227952649086161,10.0,6.3845311332007375,0.26123784419347756,8187.600619105238
MeOH,OYE1,40,7.114604542274477,1.177497050545688,10.0,6.179867797853082,0.0,1428.5077932324177
MeOH,OYE1,45,12.93375405130365,0.0526897744017819,21.768383695933355,1.1987790831760654,0.0708086827199997,1528.0214919229802
MeOH,PpXenB,25,30.989002306019948,0.0,21.536136213239537,0.0,0.8870341043863256,967.3026712508803
MeOH,PpXenB,30,29.454245498693837,0.0,10.0,3.174398578887452,0.907796544820637,1028.9937988818897
MeOH,PpXenB,35,22.436526152544076,14.784648384593277,10.0,7.991078375942638,0.3160646660805996,1957.833378416512
MeOH,PpXenB,40,16.87233682719788,6.368917728942738,10.0,6.99169303665537,0.0,1468.341605683262
MeOH,PpXenB,45,0.0,0.0,15.698089184383523,5.482323360995041,0.13432955203029445,1188.8108699525433
MeOH,TsOYE,25,39.32581975867686,0.004030663843115597,89.22571911102136,4.472974607632238,1.1921538513195262,237.67902431678198
MeOH,TsOYE,30,36.086603022328696,0.0,49.082012359290815,2.298284559374943,1.4528003168009083,258.558868048379
MeOH,TsOYE,35,36.65725450466253,0.053218267605425036,65.53927804330522,13.543963193032177,1.4405705815887224,299.74471023906756
MeOH,TsOYE,40,39.94964394607972,5.555020652508983,10.0,7.402597953338205,1.2771419254306493,475.3915706123548
MeOH,TsOYE,45,41.75932841499109,13.030477248430302,16.219661690429852,35.199515844247834,0.7106240521474291,761.7617877703751
MeOH,YqiG,25,37.537652068801854,0.1879259054806396,19.93396927590766,2.588345615005069,0.6050481825262688,768.6117470016379
MeOH,YqiG,30,34.93470618809444,0.0,10.0,1.4327235200152952,0.4091410544094784,555.7241311443588
MeOH,YqiG,35,19.25543518151753,0.0,14.878046255340177,7.963587289647259,0.0,1265.181002829373
MeOH,YqiG,40,20.27404078279696,0.0,10.0,2.551794897294187,0.0,1508.6777944161263
